input,State
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Nominal
"t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high,t:high",Caution
